PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,PEPOCH,DM,S1400,DIST_DM,DIST_DM1,TYPE,ASSOC,SURVEY,P0,P1,DMEPOCH,RM,S400,S150,SPINDX,W50,W10,F2,F3,NGLT,DIST_AMN,DIST_AMX,S300,CLK,EPHEM,PSRB,PMRA,PMDEC,S50,S600,TAU_SC,ELONG,ELAT,PMELONG,PMELAT,PX,UNITS,BINCOMP,BINARY,TASC,FB0,FB1,FB2,A1,EPS1,EPS2,DIST_A,PB,S3000,S4000,S800,S2000,S900,S1600,T0,PBDOT,ECC,OM,OMDOT,M2,S350,S100,S200,S80,A1DOT,S60,S5000,DM1,S40,TASC_2,PB_2,A1_2,EPS1_2,EPS2_2,SINI,M2_2,MASS_Q,S700,KOM,KIN,H3,STIG,H4,GAMMA,DM2,S100G,S150G,OM_ASC,DM3,T0_2,T0_3,PB_3,A1_3,ECC_2,ECC_3,OM_2,OM_3,SINI_2,SINI_3,M2_3,A12DOT,OM2DOT,P1˙,S6000,XDOT,F4,F5,S8000,S9000,DM4,DM5,ECCDOT,DTHETA,S1500,coord
J0002+6216,00:02:58.17,+62:16:09.4,55806,8.668248,-4.48354E-13,55806,218.6,0.022,6.357,7.892,HE[wcp+18],GRS:4FGL_J0002.8+621,FermiBlind,0.11536356,5.967032E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.742375,62.26927777777777"
J0006+1834,00:06:04.8,+18:34:59,,,,49079.5,11.41,,0.86,0.661,,,ar4,0.6937477,2.097E-15,56703,-20,0.2,6.5,-3.3,82,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.52,18.583055555555557"
J0007+7303,00:07:01.7,+73:03:07.4,,3.1658273,-3.612E-12,54952,,,,,NRAD,GRS:4FGL_J0007.0+730,FermiBlind,0.3158732,3.6039048E-13,,,,,,,,4.1E-23,5.4E-30,1,1.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.757083333333333,73.05205555555555"
J0011+08,00:11:34,+08:10,,,,57022,24.9,,5.399,1.272,,,ar327,2.55287,,,,,,,28,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.891666666666666,8.166666666666666"
J0012+5431,00:12:23.3,+54:31:47,,0.33054566,-1.4E-17,58912,131.3,,5.425,5.727,RRAT[dcm+23],,chime,3.0253005,1.2813422E-16,,,,,,,,,,,,,,TT(BIPM2019),DE440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.097083333333333,54.52972222222222"
J0014+4746,00:14:17.75,47:46:33.4,49664,0.80599725,-3.6669E-16,49664,30.405,3,1.776,1.544,,,"gb1,gb2,gb3,lotaas",1.240699,5.644584E-16,56773,-15.56,14,31,-1,88.7,142.5,7.3E-28,,,,,,,,B0011+47,19.3,-19.7,43,9,0.00000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.5739583333333327,47.77594444444444"
J0021-0909,00:21:51.47,-09:09:58.7,,0.43212768,-1.94E-16,58388,25.2,0.134,25,1.253,,,fast_crafts,2.3141308,1.0389091E-15,,-15,,,,23.8,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.464458333333333,-9.166305555555557"
J0023+0923,,,56845,327.84702,-1.227834E-15,56845,14.3216,0.73,1.247,0.687,HE,GRS:4FGL_J0023.4+092,FermiAssoc,0.0030502032,1.14234475E-20,59032.17,-5.1,2.9,,-1.4,,,,,,1,,,TT(BIPM2017),DE436,,,,,,0.000000036,9.070391,6.3091083,-13.86,-0.7,0.55,TDB,UL[hrm+11],ELL1,56845.04,0.00008338722,-3E-21,7.8E-28,0.03484136,0.0000064,-0.000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J0024-7204aa,00:24:05.67,-72:04:52.62,,,,57022,24.971,,2.688,1.07,,"GC:47Tuc(NGC104),XRS",misc,0.00184,,,,,,,,,,,,,,,,,,5.252,-2.551,,,,,,,,0.232,,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.023624999999999,-72.08128333333333"
J0024-7204ab,00:24:08.1615,-72:04:47.602,51600,269.9318,-7.155E-16,51600,24.37,,2.54,1.042,,"GC:47Tuc(NGC104),XRS",misc,0.0037046396,9.819775E-21,,,,,,,,-8E-27,,,,,,UTC(NIST),DE421,,5.252,-2.551,,,,,,,,0.232,TDB,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.034006249999999,-72.07988944444445"
J0024-7204ac,00:24:05.67,-72:04:5,,,,,24.46,0.152,2.562,1.046,,GC:47Tuc(NGC104),meerkat_trapum,0.00274,,,,,,,,,,,,,,,,,,5.252,-2.551,,,,,,,,0.232,,UL(?)[rgf+21],BT,,,,,0.019,,,4.521,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.023624999999999,-72.06805555555555"
